,titulo,subtitulo,link
0,CLASS ROON,Rooney going back to SCHOOL after quitting Derby to complete coaching badges,https://www.thesun.co.uk/sport/19003040/man-utd-wayne-rooney-derby-coaching-badges/
1,AMERICAN DREAM,Bale AGREES Los Angeles FC transfer which could see him shelve retirement,https://www.thesun.co.uk/sport/football/19000913/gareth-bale-transfer-los-angeles-cardiff-real-madrid/
2,HEY JUDE,Liverpool confident of Jude Bellingham transfer ahead of Man Utd & Man City,https://www.thesun.co.uk/sport/19001962/liverpool-jude-bellingham-man-utd-man-city-kalvin-phillips/
3,RED WITH ANGER,Man Utd fans plan anti-Glazer protest ahead of Ten Hag's first home match,https://www.thesun.co.uk/sport/football/19000311/man-utd-supporters-glazer-protest-erik-ten-hag/
4,WINNER WINNER,Win a Mercedes A45s AMG from just 79p with exclusive discount from the Sun,https://www.thesun.co.uk/sport/betting-tips/18918779/win-mercedes-exclusive-discount/
5,CRIST ALMIGHTY,Ronaldo's agent 'meets with Chelsea owner Boehly over summer transfer',https://www.thesun.co.uk/sport/football/19002138/cristiano-ronaldo-man-utd-sensational-summer-transfer-chelsea/
6,MANE MAN,Chelsea ‘best placed’ to sign Dembele with Tuchel 'pushing' for Barcelona ace,https://www.thesun.co.uk/sport/19002499/chelsea-ousmane-dembele-transfer-barcelona/
7,OUT-MERSE-T,Arsenal legend Merson brutally claims Nketiah wouldn’t get in Fulham team,https://www.thesun.co.uk/sport/19002349/arsenal-paul-merson-eddie-nketiah-fulham/
8,MALCOLM IN THE MIDDLE,Ebiowei snubbed Man Utd's Erik Ten Hag and Steve McClaren for Palace,https://www.thesun.co.uk/sport/19002337/malcolm-ebiowei-snubs-man-utd-transfer-crystal-palace/
9,BIG DEAL,Horse racing bonus - Irish Derby: Get £40 in FREE BETS with 888Sport,https://www.thesun.co.uk/sport/betting-tips/18979204/free-bets-horse-racing-888sport-irish-derby-new-customer/
10,HOT ROD,Georgina Rodriguez shows bikini tan lines as Ronaldo goes fishing on £5.5m yacht,https://www.thesun.co.uk/sport/football/19000956/man-utd-cristiano-ronaldo-georgina-rodriguez-yacht-bikini/
11,HORSE AROUND,Man Utd legend Scholes links up with Owen & McManaman at Chester races,https://www.thesun.co.uk/sport/19000157/man-utd-liverpool-paul-scholes-michael-owen-horse-racing/
12,UNITED FRONT,Erik ten Hag to arrive at Man Utd tomorrow to begin pre-season work,https://www.thesun.co.uk/sport/football/19001023/ten-hag-man-utd-pre-season/
13,ITALIAN JOB,Mourinho's Roma 'trying everything' to sign Ronaldo after his Man Utd ultimatum,https://www.thesun.co.uk/sport/football/19000813/cristiano-ronaldo-man-utd-transfer-jose-mourinho-roma/
14,GUNNER GET YA,Arsenal in advanced talks with Leeds as they look to beat rivals to Raphinha,https://www.thesun.co.uk/sport/football/18999223/arsenal-advanced-transfer-talks-raphinha-leeds/
15,MO SELLER,Liverpool may let Salah LEAVE for £60m with Real on alert amid new deal deadlock,https://www.thesun.co.uk/sport/18996844/liverpool-mo-salah-leave-real-madrid/
16,HAPPY HAMMERS,West Ham line-up free transfer swoop for Jesse Lingard after his Man Utd exit,https://www.thesun.co.uk/sport/football/19001534/west-ham-jesse-lingard-free-transfer-man-utd/
17,CHERRY ON TOP,Bournemouth plot £1m swoop for Blackpool's Josh Bowler in low-spending window,https://www.thesun.co.uk/sport/football/19002356/bournemouth-josh-bowler-transfer-blackpool/
18,ROO THE DAY,Rooney leaves Hourihane in transfer limbo after shock Derby departure,https://www.thesun.co.uk/sport/19002215/wayne-rooney-conor-hourihane-transfer-man-utd-derby/
19,CASINO DEALS,The best casino offers from free spins and bonus cash to no deposit deals,https://www.thesun.co.uk/sport/betting-tips/15779007/online-casino-deals-new-customer-sign-up-bonus/
20,GUNNERS NEWS,"Arsenal's Gabriel Jesus '£45m transfer AGREED', Raphinha talks advanced",https://www.thesun.co.uk/sport/18833883/arsenal-transfer-news-live-gabriel-jesus-raphinha-saliba-lisandro-martinez/
21,BLUES LATEST,"Chelsea in Dembele, Blues owner meet Ronaldo's agent for sensational transfer",https://www.thesun.co.uk/sport/football/18984148/chelsea-transfer-news-live-ousmane-dembele-ronaldo-agent/
22,MAN UTD NEWS,"Ronaldo Sporting EXCLUSIVE, star's agent MET with Chelsea owner last week",https://www.thesun.co.uk/sport/18912631/man-utd-transfer-news-live-cristiano-ronaldo-exclusive-sporting-chelsea-latest/
23,RON A MILE,Ronaldo shows off amazing physique as he trains alone with future up-in-air,https://www.thesun.co.uk/sport/football/18999843/cristiano-ronaldo-holiday-pre-season-man-utd/
24,TUCH BASE,Chelsea boss Tuchel 'makes contact with Sterling ahead of opening bid',https://www.thesun.co.uk/sport/football/18999172/chelsea-thomas-tuchel-raheem-sterling-transfer/
25,BIG SPEN-DERS,Middlesbrough tell Spurs they will not budge on Djed Spence transfer fee,https://www.thesun.co.uk/sport/football/19001135/middlesborough-tottenham-dj-spence/
26,YOU'RE KIDDING,"Watch as more than 5,000 school kids sing 'Happy Birthday' to Lionel Messi",https://www.thesun.co.uk/sport/football/19000481/school-children-happy-birthday-lionel-messi/
27,ONE WAY TICKETS,Raphinha and Di Maria meet in Ibiza as they prepare to leave Leeds and PSG,https://www.thesun.co.uk/sport/football/19001522/raphinha-angel-di-maria-ibiza-summer-transfers/
28,PHILL YOUR BOOTS,Man City agree £45million deal for Leeds star Kalvin Phillips,https://www.thesun.co.uk/sport/football/18995119/man-city-agree-45m-kalvin-phillips-transfer/
29,ALL GON WRONG,Higuain slams Arsenal for claims he was too expensive before they bought Ozil,https://www.thesun.co.uk/sport/football/19001078/arsenal-gonzalo-higuain-mesut-ozil/
30,BLADE RAID,Sheff Utd in shock swoop for Malmo's Ahmedhodzic but face fight with Blackburn,https://www.thesun.co.uk/sport/19002021/sheffield-united-anel-ahmedhodzic-transfer-blackburn/
31,SIX OF THE BEST,How Chelsea could line up after £200m transfer spree with SIX new signings,https://www.thesun.co.uk/sport/football/18999661/chelsea-line-up-transfers-signings-sterling/
32,FRIENDLY FIRE,Watford spark outrage by arranging friendly against Qatar national team,https://www.thesun.co.uk/sport/football/19000902/watford-fan-fury-qatar-national-team-friendly/
33,TON OF INTEREST,Frankfurt & Lyon enter transfer battle with Prem clubs for Brereton Diaz,https://www.thesun.co.uk/sport/19001593/frankfurt-lyon-everton-leeds-bournemouth-blackburn-ben-brereton-diaz/
34,PICTURE PERFECT,Ronaldo and Georgina pose with kids and friends in Majorca holiday snaps,https://www.thesun.co.uk/sport/football/18989621/man-utd-cristiano-ronaldo-georgina-rodriguez-majorca-photos/
35,NEYM YOUR PRICE,Neymar's agents 'open talks with Juventus over stunning transfer from PSG',https://www.thesun.co.uk/sport/football/18998938/neymar-agent-juventus-transfer-psg/
36,ALL TO PLAY FOR,Joe Allen on Huddersfield's transfer wish list after leaving Stoke on free,https://www.thesun.co.uk/sport/19001315/joe-allen-transfer-wales-swansea-free/
37,CEK HIM OUT,"Newcastle, Villa and Everton on alert with Soucek struggling to agree new deal",https://www.thesun.co.uk/sport/18996629/west-ham-tomas-soucek-contract-transfer-offers/
38,BOTMAN BEGINS,Newcastle finally strike £39m deal for Botman with medical set for next week,https://www.thesun.co.uk/sport/18996542/newcastle-transfer-deal-sven-botman-medical-next-week/
39,PLAYBOY MUMMY,Ex-Rangers wag in tears as she becomes Scotland's oldest Playboy model at 38,https://www.thesun.co.uk/sport/18995953/rangers-wag-stephanie-heaney-playboy-nacho-novo/
